Score,Episodes
6.3807386399847035,26.0
8.38,1.0
8.22,26.0
7.25,26.0
6.94,52.0
7.92,145.0
8.0,24.0
7.55,52.0
8.16,24.0
8.87,74.0
7.99,220.0
7.86,178.0
6.39,12.0
7.89,26.0
7.38,24.0
7.76,22.0
7.29,24.0
7.91,69.0
7.48,26.0
8.35,26.0
7.46,1.0
8.55,1.0
8.56,25.0
8.27,1.0
8.71,4.0
8.29,94.0
7.55,1.0
8.16,1.0
6.95,26.0
7.29,5.0
7.32,24.0
6.27,3.0
7.26,26.0
7.11,24.0
7.06,1.0
6.51,26.0
5.86,13.0
8.29,26.0
7.03,26.0
7.4,26.0
7.62,24.0
7.17,26.0
6.72,26.0
6.56,12.0
7.41,12.0
7.62,12.0
7.99,26.0
7.55,24.0
7.33,23.0
6.31,25.0
7.61,24.0
8.03,12.0
7.93,13.0
7.64,26.0
7.26,25.0
7.41,13.0
7.97,13.0
7.03,24.0
7.76,43.0
8.01,12.0
7.96,6.0
6.76,1.0
7.24,13.0
7.9,50.0
6.68,47.0
7.66,1.0
6.62,1.0
6.77,51.0
7.69,49.0
7.74,3.0
7.34,39.0
7.75,50.0
7.18,50.0
7.74,50.0
7.57,49.0
7.79,26.0
7.42,26.0
7.28,26.0
7.16,13.0
7.28,12.0
7.44,26.0
7.49,74.0
7.18,24.0
6.4,13.0
7.61,51.0
7.19,13.0
7.25,3.0
6.79,24.0
7.58,52.0
6.97,52.0
4.82,8.0
7.37,26.0
7.9,26.0
6.79,13.0
6.93,26.0
7.26,7.0
6.78,4.0
6.52,13.0
7.69,26.0
8.11,51.0
7.94,52.0
7.61,52.0
6.82,4.0
6.44,13.0
6.86,13.0
6.92,24.0
6.74,6.0
7.55,50.0
7.37,25.0
7.37,26.0
7.58,49.0
6.15,12.0
7.39,13.0
8.08,75.0
8.41,62.0
8.31,8.0
8.18,8.0
8.25,14.0
6.1,12.0
7.46,44.0
6.81,12.0
7.07,13.0
7.59,26.0
6.71,12.0
7.18,14.0
6.56,12.0
6.76,12.0
7.62,50.0
7.1,3.0
7.27,24.0
8.02,45.0
7.75,64.0
6.57,1.0
7.4,24.0
6.94,26.0
7.29,13.0
6.28,24.0
7.61,13.0
7.3,24.0
6.93,26.0
6.55,26.0
8.67,1.0
7.39,26.0
7.44,26.0
7.38,24.0
7.36,26.0
6.82,12.0
8.54,101.0
6.32,13.0
7.2,25.0
6.88,24.0
6.59,26.0
6.09,4.0
7.52,26.0
7.16,26.0
6.62,1.0
7.17,13.0
7.39,13.0
7.67,26.0
7.39,39.0
6.32,12.0
8.33,26.0
8.16,13.0
7.9,1.0
6.03,4.0
7.1,24.0
7.21,3.0
7.31,1.0
7.18,1.0
6.74,24.0
7.51,5.0
7.11,12.0
6.82,12.0
6.51,24.0
7.31,24.0
8.78,1.0
7.43,50.0
7.2,6.0
7.8,26.0
6.72,5.0
6.08,12.0
8.51,26.0
7.13,27.0
7.36,13.0
7.63,3.0
7.53,26.0
7.76,161.0
6.17,2.0
6.85,1.0
5.94,3.0
6.07,3.0
6.19,6.0
5.81,1.0
6.17,5.0
7.49,26.0
6.73,1.0
5.62,4.0
6.62,2.0
6.65,13.0
7.96,153.0
6.48,64.0
7.48,13.0
8.03,6.0
7.61,26.0
6.89,12.0
6.97,27.0
6.1,26.0
8.16,70.0
7.66,78.0
6.63,26.0
6.59,26.0
8.06,50.0
7.34,42.0
8.14,24.0
7.63,12.0
6.38,11.0
7.41,13.0
6.93,13.0
6.83,39.0
8.69,43.0
7.22,51.0
7.0,26.0
6.63,12.0
7.86,167.0
7.54,150.0
7.63,78.0
7.03,26.0
7.81,26.0
7.79,6.0
7.62,7.0
7.12,1.0
6.39,13.0
6.15,4.0
6.6,5.0
6.61,13.0
6.77,13.0
6.76,3.0
8.76,75.0
8.26,1.0
8.23,1.0
6.73,12.0
7.83,26.0
8.04,6.0
7.92,366.0
7.49,13.0
6.65,26.0
7.29,26.0
6.71,12.0
7.19,24.0
5.85,9.0
7.15,12.0
7.14,14.0
6.74,51.0
7.1,13.0
7.26,51.0
5.73,3.0
7.25,50.0
7.77,50.0
7.0,12.0
6.76,25.0
7.03,25.0
7.47,24.0
6.76,51.0
6.58,13.0
7.64,13.0
6.95,26.0
6.78,26.0
6.8,16.0
6.0,13.0
6.41,13.0
6.69,38.0
6.69,12.0
6.56,12.0
6.59,4.0
6.71,4.0
6.28,13.0
8.1,26.0
6.89,48.0
7.54,1.0
5.28,4.0
7.23,13.0
6.02,39.0
6.85,26.0
6.13,13.0
5.99,50.0
7.11,26.0
6.85,12.0
6.93,1.0
7.17,13.0
6.34,1.0
6.14,3.0
7.72,1.0
6.69,10.0
5.96,3.0
6.54,2.0
5.97,12.0
7.85,12.0
7.67,13.0
7.67,47.0
6.94,25.0
7.24,4.0
